offense_desc,latitude,longitude
FORTUNE TELLING,40.754756352,-73.987891855
FORTUNE TELLING,40.755648675,-73.990952519
FORTUNE TELLING,40.750430768,-73.989282176
FORTUNE TELLING,40.75226444800006,-73.99155933799993
