offense_desc,latitude,longitude
MURDER & NON-NEGL. MANSLAUGHTER,40.67922608300007,-73.92797416799993
MURDER & NON-NEGL. MANSLAUGHTER,40.68786431700005,-73.94939048399993
MURDER & NON-NEGL. MANSLAUGHTER,40.68580490000005,-73.91163690799993
MURDER & NON-NEGL. MANSLAUGHTER,40.64500992,-74.008635382
MURDER & NON-NEGL. MANSLAUGHTER,40.82145595800005,-73.86619987399997
MURDER & NON-NEGL. MANSLAUGHTER,40.672573951,-73.910176398
MURDER & NON-NEGL. MANSLAUGHTER,40.85406302600006,-73.90478382299993
MURDER & NON-NEGL. MANSLAUGHTER,40.80024432600004,-73.95339008999997
MURDER & NON-NEGL. MANSLAUGHTER,40.68034722300007,-73.93003524099998
MURDER & NON-NEGL. MANSLAUGHTER,40.825111907000064,-73.90828672899994
MURDER & NON-NEGL. MANSLAUGHTER,40.652262403000066,-73.76050942399996
MURDER & NON-NEGL. MANSLAUGHTER,40.575031251000034,-73.98988266699997
MURDER & NON-NEGL. MANSLAUGHTER,40.66194314900008,-73.92102913399998
MURDER & NON-NEGL. MANSLAUGHTER,40.63036654500007,-73.97371261299998
MURDER & NON-NEGL. MANSLAUGHTER,40.634711295000045,-74.10713802599996
MURDER & NON-NEGL. MANSLAUGHTER,40.80612853300004,-73.95935694199994
MURDER & NON-NEGL. MANSLAUGHTER,40.747943758000076,-73.76107855499998
MURDER & NON-NEGL. MANSLAUGHTER,40.65139047100007,-73.96020079799997
MURDER & NON-NEGL. MANSLAUGHTER,40.61879293100003,-74.08204929199997
MURDER & NON-NEGL. MANSLAUGHTER,40.686111381000046,-73.82460197499995
MURDER & NON-NEGL. MANSLAUGHTER,40.70217649700004,-73.76593474399994
MURDER & NON-NEGL. MANSLAUGHTER,40.675571392000045,-73.92577898299999
MURDER & NON-NEGL. MANSLAUGHTER,40.70217649700004,-73.76593474399994
MURDER & NON-NEGL. MANSLAUGHTER,40.68594655400005,-73.91383979899997
MURDER & NON-NEGL. MANSLAUGHTER,40.68034722300007,-73.93003524099998
MURDER & NON-NEGL. MANSLAUGHTER,40.70217649700004,-73.76593474399994
MURDER & NON-NEGL. MANSLAUGHTER,40.86764118900004,-73.88393521499995
MURDER & NON-NEGL. MANSLAUGHTER,40.68607779600006,-73.78098019799995
MURDER & NON-NEGL. MANSLAUGHTER,40.849341252000045,-73.91792586299994
MURDER & NON-NEGL. MANSLAUGHTER,40.713086184000076,-73.95660730099996
MURDER & NON-NEGL. MANSLAUGHTER,40.66553377300004,-73.89424277099994
MURDER & NON-NEGL. MANSLAUGHTER,40.816366145000075,-73.86762631099998
MURDER & NON-NEGL. MANSLAUGHTER,40.689048255000046,-73.95861337799995
MURDER & NON-NEGL. MANSLAUGHTER,40.83427221300008,-73.91710967899996
MURDER & NON-NEGL. MANSLAUGHTER,40.62016320400005,-73.92700768599997
MURDER & NON-NEGL. MANSLAUGHTER,40.805819651000036,-73.94877342399997
MURDER & NON-NEGL. MANSLAUGHTER,40.78514404400005,-73.975020106
MURDER & NON-NEGL. MANSLAUGHTER,40.63005691700005,-73.95721249199994
MURDER & NON-NEGL. MANSLAUGHTER,40.77034899100005,-73.87596723599995
MURDER & NON-NEGL. MANSLAUGHTER,40.72877369400004,-73.98155730099995
MURDER & NON-NEGL. MANSLAUGHTER,40.84595574000008,-73.93781267199995
MURDER & NON-NEGL. MANSLAUGHTER,40.805819651000036,-73.94877342399997
MURDER & NON-NEGL. MANSLAUGHTER,40.67156978400004,-73.84585518099993
MURDER & NON-NEGL. MANSLAUGHTER,40.67430429500007,-73.78919156299997
MURDER & NON-NEGL. MANSLAUGHTER,40.82079045300003,-73.91375915499998
MURDER & NON-NEGL. MANSLAUGHTER,40.67851591200008,-73.92914304899993
MURDER & NON-NEGL. MANSLAUGHTER,40.681967344000036,-73.98236705399995
MURDER & NON-NEGL. MANSLAUGHTER,40.63806398200006,-74.16610830199994
MURDER & NON-NEGL. MANSLAUGHTER,40.81087724100007,-73.94106415099996
MURDER & NON-NEGL. MANSLAUGHTER,40.645926030000055,-73.96144367099998
MURDER & NON-NEGL. MANSLAUGHTER,40.723270296000074,-73.98058474099996
MURDER & NON-NEGL. MANSLAUGHTER,40.69843969400005,-73.83112953899997
MURDER & NON-NEGL. MANSLAUGHTER,40.81087724100007,-73.94106415099996
MURDER & NON-NEGL. MANSLAUGHTER,40.530270149000046,-74.21109087699995
MURDER & NON-NEGL. MANSLAUGHTER,40.81747308300004,-73.89815606799993
MURDER & NON-NEGL. MANSLAUGHTER,40.67617271100005,-73.77997803999993
MURDER & NON-NEGL. MANSLAUGHTER,40.68764215700002,-73.85783251799995
MURDER & NON-NEGL. MANSLAUGHTER,40.64833956800004,-73.89937641499995
MURDER & NON-NEGL. MANSLAUGHTER,40.676216571000055,-73.93042172099996
MURDER & NON-NEGL. MANSLAUGHTER,40.83535328100004,-73.88475043899997
MURDER & NON-NEGL. MANSLAUGHTER,40.83990820100007,-73.93608358699998
MURDER & NON-NEGL. MANSLAUGHTER,40.676216571000055,-73.93042172099996
MURDER & NON-NEGL. MANSLAUGHTER,40.676216571000055,-73.93042172099996
MURDER & NON-NEGL. MANSLAUGHTER,40.79853305800003,-73.96525602199995
MURDER & NON-NEGL. MANSLAUGHTER,40.80732404600008,-73.94941886199997
MURDER & NON-NEGL. MANSLAUGHTER,40.74174848400003,-73.70204752099994
MURDER & NON-NEGL. MANSLAUGHTER,40.676216571000055,-73.93042172099996
MURDER & NON-NEGL. MANSLAUGHTER,40.575031251000034,-73.98988266699997
MURDER & NON-NEGL. MANSLAUGHTER,40.85712169100003,-73.89051475299993
MURDER & NON-NEGL. MANSLAUGHTER,40.65815884800003,-73.91817909399998
MURDER & NON-NEGL. MANSLAUGHTER,40.71345390200002,-73.99771088699998
MURDER & NON-NEGL. MANSLAUGHTER,40.70597773800005,-73.74266120599998
MURDER & NON-NEGL. MANSLAUGHTER,40.83886177100004,-73.91030606099997
MURDER & NON-NEGL. MANSLAUGHTER,40.75191912100007,-73.86951208699998
MURDER & NON-NEGL. MANSLAUGHTER,40.699021834000064,-73.79572395699995
MURDER & NON-NEGL. MANSLAUGHTER,40.71251854900004,-73.73420966099997
MURDER & NON-NEGL. MANSLAUGHTER,40.83855936400005,-73.89660592299998
MURDER & NON-NEGL. MANSLAUGHTER,40.761743826000036,-73.87308820099996
MURDER & NON-NEGL. MANSLAUGHTER,40.71345390200002,-73.99771088699998
MURDER & NON-NEGL. MANSLAUGHTER,40.799665264000055,-73.94719977999995
MURDER & NON-NEGL. MANSLAUGHTER,40.809677443000055,-73.94594556099996
MURDER & NON-NEGL. MANSLAUGHTER,40.82569181300004,-73.81509970399996
MURDER & NON-NEGL. MANSLAUGHTER,40.60977656700004,-73.75061339299998
MURDER & NON-NEGL. MANSLAUGHTER,40.71345390200002,-73.99771088699998
MURDER & NON-NEGL. MANSLAUGHTER,40.59646293100008,-73.77246640899993
MURDER & NON-NEGL. MANSLAUGHTER,40.71345390200002,-73.99771088699998
MURDER & NON-NEGL. MANSLAUGHTER,40.68217738700002,-73.949935623
MURDER & NON-NEGL. MANSLAUGHTER,40.88649666100008,-73.84591741799994
MURDER & NON-NEGL. MANSLAUGHTER,40.62454224000004,-73.95616773599994
MURDER & NON-NEGL. MANSLAUGHTER,40.68891449000005,-73.75444613099995
MURDER & NON-NEGL. MANSLAUGHTER,40.885031456000036,-73.85693665899998
MURDER & NON-NEGL. MANSLAUGHTER,40.70625129200005,-73.94302857299994
MURDER & NON-NEGL. MANSLAUGHTER,40.80653810100006,-73.918910596
MURDER & NON-NEGL. MANSLAUGHTER,40.606664855000076,-73.75614960299998
MURDER & NON-NEGL. MANSLAUGHTER,40.85204555700005,-73.93174513099996
MURDER & NON-NEGL. MANSLAUGHTER,40.67508142100007,-73.92363809599993
MURDER & NON-NEGL. MANSLAUGHTER,40.69703399000008,-73.97163074399998
MURDER & NON-NEGL. MANSLAUGHTER,40.64064843800003,-73.96337445699999
MURDER & NON-NEGL. MANSLAUGHTER,40.728942836000044,-73.74494300099997
MURDER & NON-NEGL. MANSLAUGHTER,40.69205542900005,-73.91253013099998
MURDER & NON-NEGL. MANSLAUGHTER,40.85071487300007,-73.884199702
MURDER & NON-NEGL. MANSLAUGHTER,40.64374258000004,-73.95073198799997
MURDER & NON-NEGL. MANSLAUGHTER,40.63935281700003,-73.95537251499997
MURDER & NON-NEGL. MANSLAUGHTER,40.610879854000075,-74.11676658399993
MURDER & NON-NEGL. MANSLAUGHTER,40.69577536400004,-73.90652809699996
MURDER & NON-NEGL. MANSLAUGHTER,40.65269512700007,-73.96284167499994
MURDER & NON-NEGL. MANSLAUGHTER,40.69761867900007,-73.82004575599996
MURDER & NON-NEGL. MANSLAUGHTER,40.76672941900005,-73.91269198599997
MURDER & NON-NEGL. MANSLAUGHTER,40.69967332200008,-73.940055278
MURDER & NON-NEGL. MANSLAUGHTER,40.674588380000046,-73.80393908099995
MURDER & NON-NEGL. MANSLAUGHTER,40.711937611000046,-73.90447463599996
MURDER & NON-NEGL. MANSLAUGHTER,40.65092724700002,-73.73494154499997
MURDER & NON-NEGL. MANSLAUGHTER,40.65290208700002,-73.89402853999997
MURDER & NON-NEGL. MANSLAUGHTER,40.672085081000034,-73.75649442199995
MURDER & NON-NEGL. MANSLAUGHTER,40.65092724700002,-73.73494154499997
MURDER & NON-NEGL. MANSLAUGHTER,40.73455764800008,-73.88405877499997
MURDER & NON-NEGL. MANSLAUGHTER,40.82301004800007,-73.94923712199994
MURDER & NON-NEGL. MANSLAUGHTER,40.807780622000045,-73.94548472699995
MURDER & NON-NEGL. MANSLAUGHTER,40.81572025100007,-73.86450258499997
