offense_desc,latitude,longitude
ARSON,40.71195209300004,-73.98985467599994
ARSON,40.695077266000055,-73.82375256999995
ARSON,40.88680259100005,-73.84687148999996
ARSON,40.81824648100008,-73.85414296999993
ARSON,40.68487764600008,-73.94276559299993
ARSON,40.844239265000056,-73.863363829
ARSON,40.903695871000025,-73.85086247599996
ARSON,40.76956124200007,-73.91536344699995
ARSON,40.87621783000003,-73.86810741399995
ARSON,40.83472938800003,-73.89845489199998
ARSON,40.87448255100002,-73.90030338799994
ARSON,40.70370700800004,-73.94325796599996
ARSON,40.834330608000066,-73.90069240299994
ARSON,40.67317201400005,-73.93904085499997
ARSON,40.67003008100005,-73.90404439699995
ARSON,40.72045033300003,-73.97491447999995
ARSON,40.791598615000055,-73.94173488299998
ARSON,40.64475207900006,-74.08724138199995
ARSON,40.666397981000046,-73.90989634499994
ARSON,40.841183585000074,-73.87989381599994
ARSON,40.82303816300004,-73.91721038699995
ARSON,40.72628777500006,-73.98779600499995
ARSON,40.68423151700006,-73.91082412699996
ARSON,40.63675218100008,-73.94034959799995
ARSON,40.66262448400005,-73.83398120599996
ARSON,40.697852725000075,-73.94387963199993
ARSON,40.82166422800003,-73.91885603399999
ARSON,40.67541918000006,-73.93753906899997
ARSON,40.72045033300003,-73.97491447999995
ARSON,40.709984490000075,-73.99644134399993
ARSON,40.669167849000075,-73.89128468699994
ARSON,40.78450736500002,-73.97548255699996
ARSON,40.642530168000064,-73.90412718199997
ARSON,40.67753065000005,-73.92089170399998
ARSON,40.680890516000034,-73.94486736999993
ARSON,40.813806440000064,-73.90494257099994
ARSON,40.67693391700004,-73.98590869599997
ARSON,40.83610976600005,-73.85466033899996
ARSON,40.74886904300007,-73.93754599699997
ARSON,40.59552106600006,-73.79256219899997
ARSON,40.69590304600007,-73.91929037599994
ARSON,40.71019742500005,-73.93619713899994
ARSON,40.844343656000035,-73.83995751499998
ARSON,40.68223177900006,-73.77359072999997
ARSON,40.623140111000055,-74.08284714199993
ARSON,40.736646465000035,-73.76247584199997
ARSON,40.82661729300003,-73.90313929099993
ARSON,40.599242573000026,-73.98472235199995
ARSON,40.69121477200008,-73.98438756299998
ARSON,40.75682041300007,-73.97213588399995
ARSON,40.672957431000036,-73.89319276099997
ARSON,40.670880781000044,-73.90716860399993
ARSON,40.65749137100005,-73.92140563199997
ARSON,40.791151867000046,-73.884371919
ARSON,40.66671016400005,-73.87405122799998
ARSON,40.827215642000056,-73.87980701499998
ARSON,40.574070952000056,-73.99620020499998
ARSON,40.70217649700004,-73.76593474399994
ARSON,40.67593676900003,-73.87282968199997
ARSON,40.79060105400004,-73.93936309199995
ARSON,40.63909229600006,-74.07566062399997
ARSON,40.73324830400002,-73.85491355999993
ARSON,40.695226225000056,-73.97621137999994
ARSON,40.670571144000064,-73.87074187999998
ARSON,40.78972942200004,-73.88370268399994
ARSON,40.67602711600006,-73.76871957999998
ARSON,40.64584527900007,-74.02210546799995
ARSON,40.74726625700004,-73.99149139999997
ARSON,40.82988213900006,-73.93675809999998
ARSON,40.79705615700004,-73.96447666399997
ARSON,40.66557499100002,-73.88568179399994
ARSON,40.766703071000045,-73.82101431699994
ARSON,40.79826064200005,-73.94286676199994
ARSON,40.81537911400005,-73.90487890699995
